AvgPrice,AvgAge,AvgRoom,AvgSqrMeter,AvgPopulation
2537147.612,7.11,5,119,1129871
1597075.844,5.8,7,123,300134
764727.1483,7.1,3,127,69366
2141877.701,6.66,3,67,1050993
749182,6.8,3,124,89235
1734646.469,6.4,7,131,310922
1372977.985,6.02,3,80,227012
663754.3088,6.1,3,114,63134
1194003.263,5.96,4,88,390408
2226509.779,6.18,4,116,1075261
1650165.045,5.68,7,131,511917
1150169.038,5.07,4,87,295092
1359346.129,6.61,4,87,327430
1737845.459,4.45,2,70,1053118
2181086.746,5.21,5,117,1167685
550437.5235,4.54,4,129,64576
2119650.973,6.09,4,114,1086678
2491646.788,7.45,5,119,1181416
1738415.938,6.97,6,120,259964
1794054.39,7.36,6,122,689262
1786212.048,6.78,7,136,373841
1496683.754,7.23,4,83,582635
2358652.19,7.21,5,110,894157
1988719.006,4.7,5,114,859969
541855.3246,4.29,3,124,115324
640042.1384,6.31,3,122,75385
1338583.085,6.9,4,81,596639
726649.9186,6.16,4,119,65476
2170851.343,5.8,5,118,831352
2236816.052,6.24,4,111,971229
1708567.822,6.22,7,133,400452
2004360.378,7.41,2,61,1087174
1220083.2,5.99,4,84,523976
1762519.227,5.43,2,62,974489
1574098.777,5.35,6,137,304984
1875918.852,7.63,6,129,278284
1769725.071,7.81,7,121,379265
2201775.994,7.32,3,66,867301
1309934.099,5.81,3,83,576031
1357065.897,7.05,4,82,528504
629915.8785,6.26,3,110,79080
2024687.002,5.93,4,114,1091614
733767.5528,7.54,4,118,74059
1864936.421,6.26,2,70,917767
2003887.104,5.11,5,118,910859
2189709.994,7.96,3,69,1073429
1345672.907,4.37,7,140,381275
1437651.073,4.61,6,123,303489
736107.3467,6.61,3,129,91072
2331979.43,7.65,2,66,821877
685775.309,4.19,4,219,138262
879825.2463,6.75,5,230,139056
1138158.072,5.06,4,87,438825
800197.279,7.87,3,117,75836
2384889.651,6.24,4,118,893175
1720674.989,4.77,3,60,1063515
1464138.004,5.07,6,138,228669
728860.2744,4.7,5,209,61677
830051.071,6.99,4,217,105194
1424619.6,5.23,7,129,454063
1220434.276,4.78,4,88,635278
2348672.04,7.9,3,65,1067685
782564.449,4.77,4,211,111444
660836.2982,7.18,3,121,83298
861192.8143,5.47,5,222,105269
721835.4766,6.56,3,115,126701
1507204.854,5.44,6,125,539305
722423.7872,7.26,3,130,102801
1232809.616,6.34,3,80,598710
1079710.367,4.36,3,85,629713
1629496.322,6.86,6,126,401641
2367919.238,7.2,5,120,1135795
2006939.752,4.71,5,117,895926
675546.8612,4.39,5,206,99189
1327743.606,6.09,4,88,272698
544229.3372,4.59,4,112,123757
557159.6115,4.07,4,126,113389
1382639.667,7.96,4,86,657707
888276.5693,7.68,5,202,95728
726864.2669,6.76,3,119,71146
2037199.774,6.44,3,62,1058817
2421779.068,7.81,4,111,939540
571270.2518,5.16,3,118,60076
1882240.284,5.08,4,119,956931
819148.311,5.96,5,207,126091
1924916.391,7.47,7,134,288858
630323.2743,5.87,3,121,89003
1573989.508,5.96,7,128,353550
793860.3401,7.87,4,115,134108
780420.152,5.26,5,216,134186
1880582.096,4.45,4,110,935082
688374.5125,4.53,4,200,68954
1364151.488,5.91,4,80,442165
1149380.558,4.38,4,89,247353
1988572.723,5.51,5,114,933171
1724240.627,4.69,2,65,936181
1604423.123,5.66,7,120,451647
1468553.67,7.85,4,86,611890
653293.0961,6.39,3,112,139531
